,split_perc,split_conn,filename,feat_name,run,f1_dev,recall_dev,precision_dev,f1_dev_0,recall_dev_0,prec_dev_0,f1_dev_1,recall_dev_1,prec_dev_1,f1_test,recall_test,precision_test,f1_test_0,recall_test_0,prec_test_0,f1_test_1,recall_test_1,prec_test_1
208,40,attack_support,argmin_all.csv,roberta-base,0,0.5878132832080201,0.5889235092864125,0.5949074074074074,0.6672932330827067,0.7157258064516129,0.625,0.5083333333333333,0.4621212121212121,0.5648148148148148,0.5937071682196351,0.5938593867342132,0.597636909072101,0.6616027345233574,0.6956869009584664,0.6307023895727734,0.5258116019159128,0.49203187250996017,0.5645714285714286
209,40,attack_support,argmin_all.csv,roberta-large,0,0.6686355785396692,0.6682144020853699,0.6692666308050923,0.7098703888334995,0.717741935483871,0.7021696252465484,0.6274007682458387,0.6186868686868687,0.6363636363636364,0.7074660506223436,0.7099986634929929,0.7075798860540006,0.7270461154964686,0.6988817891373802,0.7575757575757576,0.6878859857482185,0.7211155378486056,0.6575840145322435
210,40,attack_support,argmin_all.csv,xlm-roberta-base,0,0.5125385684782764,0.5145100195503421,0.5152377897185019,0.599429115128449,0.6350806451612904,0.5675675675675675,0.4256480218281037,0.3939393939393939,0.4629080118694362,0.5485305746978035,0.5491834578618433,0.5508929982614194,0.6213740458015268,0.6501597444089456,0.5950292397660819,0.47568710359408034,0.448207171314741,0.5067567567567568
211,40,attack_support,argmin_all.csv,xlm-roberta-large,0,0.5849200098481147,0.5849217986314761,0.5874970493351168,0.6505324298160696,0.6774193548387096,0.6256983240223464,0.5193075898801598,0.49242424242424243,0.5492957746478874,0.6068452891259292,0.6064925601109937,0.6085154935857163,0.6627861854870004,0.6821086261980831,0.6445283018867924,0.5509043927648579,0.5308764940239044,0.5725026852846402
212,40,attack_support,perspectrum_all.csv,bert-base,0,0.588223488426799,0.5883392654608405,0.5885473930636271,0.5756972111553784,0.564453125,0.5873983739837398,0.6007497656982194,0.612225405921681,0.5896964121435143,0.5956695020308845,0.595606194935157,0.5957952603818439,0.5681114551083593,0.5637480798771122,0.5725429017160687,0.6232275489534098,0.6274643099932019,0.6190476190476191
213,40,attack_support,perspectrum_all.csv,bert-large,0,0.6278323269890702,0.6279278220510984,0.6282544010742492,0.6161515453639083,0.603515625,0.6293279022403259,0.6395131086142322,0.6523400191021967,0.6271808999081726,0.6385200353470541,0.6383229899929095,0.6395192803951928,0.6074950690335305,0.5913978494623656,0.624493106244931,0.6695450016605778,0.6852481305234535,0.6545454545454545
214,40,attack_support,perspectrum_all.csv,distilbert,0,0.567402271112112,0.5675576983345272,0.5677370030581039,0.5536159600997507,0.5419921875,0.5657492354740061,0.5811885821244736,0.5931232091690545,0.5697247706422018,0.5651051087472476,0.5650688007050806,0.565241507047533,0.534522885958107,0.5291858678955453,0.5399686520376176,0.5956873315363882,0.600951733514616,0.5905143620574482
215,40,attack_support,perspectrum_all.csv,all_lms,0,0.824635840375094,0.8245773825513372,0.8248979991970646,0.8207407407407407,0.8115234375,0.8301698301698301,0.8285309400094474,0.8376313276026743,0.819626168224299,0.8169099845939403,0.8160697186047507,0.818751889026847,0.8012618296529969,0.7803379416282642,0.8233387358184765,0.8325581395348837,0.8518014955812373,0.8141650422352177
216,40,attack_support,perspectrum_all.csv,roberta-base,0,0.632532327076169,0.6325583325871538,0.6325420140637532,0.6304031083050025,0.6337890625,0.6270531400966184,0.6346615458473356,0.6313276026743075,0.638030888030888,0.6528911197243812,0.6528979105512515,0.6528844999242982,0.6318618042226488,0.6321044546850998,0.6316193399846508,0.6739204352261136,0.6736913664174031,0.6741496598639456
217,40,attack_support,perspectrum_all.csv,roberta-large,0,0.7806492100670953,0.7806050210422636,0.7809792659008126,0.7752475247524753,0.7646484375,0.786144578313253,0.7860508953817154,0.7965616045845272,0.7758139534883721,0.7827102868139003,0.7817672649200467,0.7856150499618935,0.7618667730355004,0.7334869431643625,0.7925311203319502,0.8035538005923002,0.8300475866757308,0.7786989795918368
