,split_perc,split_conn,filename,feat_name,lambda_l1,lambda_l2,num_leaves,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,f1_dev,recall_dev,precision_dev,f1_dev_0,recall_dev_0,prec_dev_0,f1_dev_1,recall_dev_1,prec_dev_1,f1_test,recall_test,precision_test,f1_test_0,recall_test_0,prec_test_0,f1_test_1,recall_test_1,prec_test_1
23,all,attack_support,perspectrum_all.csv,xlm-roberta-large,8.073215823543875e-05,0.0012029874508780979,107,0.6000000000000001,1.0,1,20,0.7447533136966127,0.744091869330351,0.7467434790410945,0.7216494845360826,0.6989247311827957,0.7459016393442623,0.7678571428571428,0.7892590074779062,0.7475853187379266,0.7447533136966127,0.744091869330351,0.7467434790410945,0.7216494845360826,0.6989247311827957,0.7459016393442623,0.7678571428571428,0.7892590074779062,0.7475853187379266
24,all,attack,ibmcs_all.csv,bert-base,0.007437156123240102,4.1965109070958416e-08,181,0.9,0.8,2,70,0.5301813907381134,0.5436259541984733,0.5507373755821386,0.43413729128014844,0.35725190839694654,0.5531914893617021,0.6262254901960784,0.73,0.5482832618025751,0.5301813907381134,0.5436259541984733,0.5507373755821386,0.43413729128014844,0.35725190839694654,0.5531914893617021,0.6262254901960784,0.73,0.5482832618025751
25,all,attack,ibmcs_all.csv,bert-large,0.014702599356202484,5.918179871452189e-06,181,0.7000000000000001,0.5,3,80,0.5849264590795871,0.5909051254089421,0.5989610044257032,0.5184534270650264,0.45038167938931295,0.6107660455486542,0.6513994910941476,0.7314285714285714,0.5871559633027523,0.5849264590795871,0.5909051254089421,0.5989610044257032,0.5184534270650264,0.45038167938931295,0.6107660455486542,0.6513994910941476,0.7314285714285714,0.5871559633027523
26,all,attack,ibmcs_all.csv,distilbert,1.0333922576609394e-08,0.00014385721768121366,86,0.5,0.4,1,50,0.5340861791266265,0.5351145038167939,0.5356987645123239,0.49557522123893805,0.47022900763358777,0.5238095238095238,0.572597137014315,0.6,0.5475880052151239,0.5340861791266265,0.5351145038167939,0.5356987645123239,0.49557522123893805,0.47022900763358777,0.5238095238095238,0.572597137014315,0.6,0.5475880052151239
27,all,attack,ibmcs_all.csv,all_lms,0.00019353773685237951,7.347307012419848e-06,149,0.9,1.0,2,90,0.769015001239772,0.7693511450381679,0.7826327256416008,0.7398648648648649,0.6687022900763359,0.8279773156899811,0.798165137614679,0.87,0.7372881355932204,0.769015001239772,0.7693511450381679,0.7826327256416008,0.7398648648648649,0.6687022900763359,0.8279773156899811,0.798165137614679,0.87,0.7372881355932204
28,all,attack,ibmcs_all.csv,roberta-base,0.0014017991215110796,0.44824795818305085,106,0.8,0.8,3,10,0.6078434684684684,0.6153380588876772,0.6291391941391942,0.5369369369369369,0.4549618320610687,0.654945054945055,0.67875,0.7757142857142857,0.6033333333333334,0.6078434684684684,0.6153380588876772,0.6291391941391942,0.5369369369369369,0.4549618320610687,0.654945054945055,0.67875,0.7757142857142857,0.6033333333333334
29,all,attack,ibmcs_all.csv,roberta-large,0.003320606340030838,0.03529128596999792,31,1.0,0.4,2,10,0.7558368862445715,0.75592693565976,0.7644314192097423,0.7295285359801488,0.6732824427480916,0.796028880866426,0.782145236508994,0.8385714285714285,0.7328339575530587,0.7558368862445715,0.75592693565976,0.7644314192097423,0.7295285359801488,0.6732824427480916,0.796028880866426,0.782145236508994,0.8385714285714285,0.7328339575530587
30,all,attack,ibmcs_all.csv,xlm-roberta-base,0.00033815766377015826,2.6886139305617034e-06,25,0.4,0.7000000000000001,2,40,0.5314532805631257,0.5462868047982552,0.5546994205946637,0.43151969981238275,0.3511450381679389,0.559610705596107,0.6313868613138687,0.7414285714285714,0.5497881355932204,0.5314532805631257,0.5462868047982552,0.5546994205946637,0.43151969981238275,0.3511450381679389,0.559610705596107,0.6313868613138687,0.7414285714285714,0.5497881355932204
31,all,attack,ibmcs_all.csv,xlm-roberta-large,2.5607734569183693e-07,0.551978634587448,51,0.8,0.8,1,30,0.704311363575323,0.7075408942202835,0.7267792966701938,0.656084656084656,0.5679389312977099,0.7766179540709812,0.7525380710659899,0.8471428571428572,0.6769406392694064,0.704311363575323,0.7075408942202835,0.7267792966701938,0.656084656084656,0.5679389312977099,0.7766179540709812,0.7525380710659899,0.8471428571428572,0.6769406392694064
32,all,attack,argmin_all.csv,bert-base,7.957374630448439e-05,6.873106122654787e-08,96,0.9,0.4,1,60,0.5708466735846418,0.571011481231623,0.573060235283718,0.6372360844529751,0.6629392971246006,0.6134515890613451,0.5044572627163084,0.47908366533864544,0.5326688815060908,0.5708466735846418,0.571011481231623,0.573060235283718,0.6372360844529751,0.6629392971246006,0.6134515890613451,0.5044572627163084,0.47908366533864544,0.5326688815060908
33,all,attack,argmin_all.csv,bert-large,4.963770621436162e-08,1.5041015084237764e-06,6,0.5,0.6000000000000001,2,30,0.6130949051606429,0.614551379147945,0.6253761493452215,0.6947291361639825,0.7579872204472844,0.6412162162162162,0.5314606741573034,0.4711155378486056,0.6095360824742269,0.6130949051606429,0.614551379147945,0.6253761493452215,0.6947291361639825,0.7579872204472844,0.6412162162162162,0.5314606741573034,0.4711155378486056,0.6095360824742269
